Model,FZ0 loss,Std (seeds),Hit rate,MCS (90%),MCS p-value,Adequacy
Neural BEKK (asym. diag.),-2.893767915347667,0.02563139523229706,0.010122850122850123,11/11,0.8566363636363636,pass
Neural BEKK (mix),-2.89241666434776,0.010585714217360554,0.010417690417690417,11/11,0.7812727272727272,pass
Neural BEKK (scalar),-2.889078203888282,0.01573431569372587,0.011695331695331695,11/11,0.7753636363636364,pass
GRU (Normal),-2.869488992721577,0.026648892142791314,0.00963144963144963,11/11,0.6755454545454546,fail (dq)
Neural BEKK (vector),-2.8619835137197267,0.017525334056286982,0.011400491400491401,11/11,0.5265454545454545,"fail (christoffersen_cc, dq)"
GRU (Student-t),-2.8508527406293545,0.02054028924052434,0.009238329238329238,9/11,0.43063636363636365,fail (dq)
BEKK (symmetric),-2.8461194356256123,,0.014054054054054054,11/11,0.48354545454545456,"fail (christoffersen_cc, dq)"
BEKK (asymmetric),-2.8432903995653662,,0.014054054054054054,11/11,0.4884545454545455,fail (dq)
LSTM (Normal),-2.8384306058508684,0.026328800940687493,0.011793611793611795,11/11,0.6387272727272727,pass
DCC,-2.8151895691394064,,0.014054054054054054,10/11,0.2848181818181818,"fail (christoffersen_cc, dq)"
ADCC,-2.8151895674951373,,0.014054054054054054,10/11,0.2848181818181818,"fail (christoffersen_cc, dq)"
LSTM (Student-t),-2.814370629019692,0.021205840094879636,0.011400491400491401,10/11,0.4530909090909091,pass
