Model,Hit rate,Exceptions,Expected,Kupiec,Chr. ind.,Chr. CC,DQ
Neural BEKK (asym. diag.),0.010122850122850123,9.363636363636363,9.25,0/11,0/11,0/11,3/11
Neural BEKK (mix),0.010417690417690417,9.636363636363637,9.25,0/11,0/11,0/11,3/11
Neural BEKK (scalar),0.011695331695331695,10.818181818181818,9.25,0/11,0/11,0/11,0/11
GRU (Normal),0.00963144963144963,8.909090909090908,9.25,0/11,2/11,2/11,6/11
Neural BEKK (vector),0.011400491400491401,10.545454545454545,9.25,0/11,6/11,6/11,7/11
GRU (Student-t),0.009238329238329238,8.545454545454545,9.25,0/11,2/11,2/11,7/11
BEKK (symmetric),0.014054054054054054,13.0,9.25,0/11,11/11,11/11,11/11
BEKK (asymmetric),0.014054054054054054,13.0,9.25,0/11,0/11,0/11,11/11
LSTM (Normal),0.011793611793611795,10.909090909090908,9.25,0/11,0/11,0/11,3/11
DCC,0.014054054054054054,13.0,9.25,0/11,11/11,11/11,11/11
ADCC,0.014054054054054054,13.0,9.25,0/11,11/11,11/11,11/11
LSTM (Student-t),0.011400491400491401,10.545454545454545,9.25,0/11,1/11,1/11,5/11
