Model,ER,CC,ESR (v1),ESR (v2),ESR (v3)
Neural BEKK (asym. diag.),0/11,0/11,6/11,8/11,0/11
Neural BEKK (mix),0/11,0/11,5/11,6/11,0/11
Neural BEKK (scalar),0/11,0/11,0/11,0/11,0/11
GRU (Normal),0/11,0/11,0/11,2/11,0/11
Neural BEKK (vector),0/11,0/11,1/11,2/11,0/11
GRU (Student-t),0/11,0/11,1/11,0/11,0/11
BEKK (symmetric),0/11,0/11,0/11,0/11,0/11
BEKK (asymmetric),0/11,0/11,0/11,0/11,0/11
LSTM (Normal),0/11,0/11,0/11,3/11,0/11
DCC,0/11,0/11,0/11,0/11,0/11
ADCC,0/11,0/11,0/11,0/11,0/11
LSTM (Student-t),0/11,0/11,0/11,0/11,0/11
