seed,model,metric,value
0,lstm_normal,n_obs,925.0
0,lstm_student,n_obs,925.0
0,gru_normal,n_obs,925.0
0,gru_student,n_obs,925.0
0,bekk_lstm_vector,n_obs,925.0
0,bekk_lstm_scalar,n_obs,925.0
0,bekk_lstm_mix,n_obs,925.0
0,neural_bekk_asym_diag,n_obs,925.0
0,bekk_symmetric,n_obs,925.0
0,bekk_asymmetric,n_obs,925.0
0,dcc,n_obs,925.0
0,adcc,n_obs,925.0
1,lstm_normal,n_obs,925.0
1,lstm_student,n_obs,925.0
1,gru_normal,n_obs,925.0
1,gru_student,n_obs,925.0
1,bekk_lstm_vector,n_obs,925.0
1,bekk_lstm_scalar,n_obs,925.0
1,bekk_lstm_mix,n_obs,925.0
1,neural_bekk_asym_diag,n_obs,925.0
1,bekk_symmetric,n_obs,925.0
1,bekk_asymmetric,n_obs,925.0
1,dcc,n_obs,925.0
1,adcc,n_obs,925.0
2,lstm_normal,n_obs,925.0
2,lstm_student,n_obs,925.0
2,gru_normal,n_obs,925.0
2,gru_student,n_obs,925.0
2,bekk_lstm_vector,n_obs,925.0
2,bekk_lstm_scalar,n_obs,925.0
2,bekk_lstm_mix,n_obs,925.0
2,neural_bekk_asym_diag,n_obs,925.0
2,bekk_symmetric,n_obs,925.0
2,bekk_asymmetric,n_obs,925.0
2,dcc,n_obs,925.0
2,adcc,n_obs,925.0
3,lstm_normal,n_obs,925.0
3,lstm_student,n_obs,925.0
3,gru_normal,n_obs,925.0
3,gru_student,n_obs,925.0
3,bekk_lstm_vector,n_obs,925.0
3,bekk_lstm_scalar,n_obs,925.0
3,bekk_lstm_mix,n_obs,925.0
3,neural_bekk_asym_diag,n_obs,925.0
3,bekk_symmetric,n_obs,925.0
3,bekk_asymmetric,n_obs,925.0
3,dcc,n_obs,925.0
3,adcc,n_obs,925.0
4,lstm_normal,n_obs,925.0
4,lstm_student,n_obs,925.0
4,gru_normal,n_obs,925.0
4,gru_student,n_obs,925.0
