lstm_normal,lstm_student,gru_normal,gru_student,bekk_lstm_scalar,bekk_lstm_vector,bekk_lstm_mix,neural_bekk_asym_diag,bekk_symmetric,bekk_asymmetric,dcc,adcc
-2.9837559934183804,-2.9499048146370987,-2.915554283812419,-2.887872277214023,-2.830507208009152,-2.872391535854586,-2.8652850885807335,-2.87874561525127,-2.8210216607903087,-2.796680735341916,-2.8565428335262615,-2.856542828757517
-2.987853661764925,-2.943106229799254,-2.922771749557421,-2.890316611303328,-2.8472364077518684,-2.8842628783393174,-2.8583644515185425,-2.87824855588042,-2.825788055265052,-2.8020791434070067,-2.8723034227337885,-2.872303417780596
-2.886807203193219,-2.8392852446696413,-2.917499791514911,-2.8797255575357634,-2.8105285726401497,-2.8714330673828705,-2.825561500622645,-2.879187193849738,-2.8296236266106214,-2.8055498825854563,-2.8672260318984573,-2.8672260270179026
-2.874968327506185,-2.8653880446477618,-2.904505337467452,-2.8759938510411276,-2.789894214250779,-2.8612643758507774,-2.8211913247427214,-2.8826113627862036,-2.8347657444200243,-2.8130565974228454,-2.8861432632792177,-2.8861432582606867
-2.8991426554040816,-2.8756040304465005,-2.875602517971694,-2.842423227290332,-2.7591603641447646,-2.833624368536767,-2.7763620350280886,-2.801000674922723,-2.8205657195314178,-2.8010688101309493,-2.8623706249295813,-2.862370619407901
-2.8159537636331953,-2.813449036834203,-2.819199430718213,-2.791325353345493,-2.7285011380545794,-2.804741631827277,-2.7489684564729036,-2.7675641116157603,-2.80791102163015,-2.784518720286146,-2.847485330842143,-2.8474853252678423
-2.834476872700214,-2.8410066009251236,-2.7955384990360224,-2.7651833407244033,-2.7377371239886763,-2.8103810902056217,-2.760740833683739,-2.805177647932315,-2.8244114025992437,-2.800231992899089,-2.8725766603547456,-2.872576654930312
-2.7040227897483717,-2.699746871472698,-2.761938441075312,-2.7207550548459336,-2.7553962949104926,-2.78452419786374,-2.7483480558508555,-2.780790550550878,-2.8311228879009884,-2.8060504587378374,-2.841253718759831,-2.8412537149495645
-2.699959514687344,-2.6953593151845467,-2.7474781366445304,-2.6948188550578327,-2.7659793817034637,-2.7633747592721187,-2.7368698782664005,-2.775547682323461,-2.8342636845040774,-2.8095870889319996,-2.8536034566670128,-2.8536034528370897
-2.7138749698263704,-2.7149325852586186,-2.7248718885631074,-2.6626752925892183,-2.743437359743983,-2.7197351713669744,-2.6960284933439063,-2.6916945377769625,-2.816802996849286,-2.7939148276317765,-2.8124346056012,-2.812434602158652
-2.611342684915185,-2.593153538497295,-2.6860339575898906,-2.6190733831840713,-2.7151048555240496,-2.6771004635231073,-2.675487238546726,-2.6631017562654344,-2.8078442352641475,-2.785399647328846,-2.78291960158264,-2.782919598105694
-2.705653414090624,-2.6877003123475887,-2.6951981610417466,-2.6230171388666785,-2.7792093780165956,-2.6950285790311077,-2.738033016234238,-2.706599738027601,-2.815733469165826,-2.7932601128199908,-2.807130846377879,-2.807130842741377
-2.7324617053120663,-2.756652415938234,-2.7074821884484894,-2.632679879178146,-2.817854612732223,-2.706435931969566,-2.7632682140193534,-2.7434246328696172,-2.7999714388654895,-2.781791966718017,-2.8119669915504764,-2.811966987379508
-2.759031297492787,-2.7783931684397265,-2.7282798332058347,-2.6517702485440733,-2.8593344689141498,-2.7323849323716574,-2.7797483680290545,-2.783842769651585,-2.803008409595106,-2.7861020317214713,-2.8322598347689927,-2.832259830230728
-2.71123925700266,-2.76148191700034,-2.714373324125543,-2.667020006151013,-2.8176221248457454,-2.715809434159552,-2.770004271382821,-2.788150320856559,-2.813570208707793,-2.798346657995681,-2.841557792100558,-2.841557787811194
-2.796225123280815,-2.803769176314354,-2.7385506975104326,-2.7179093817869227,-2.8707369286688946,-2.7681415469290815,-2.8067915639278973,-2.849847489477705,-2.8336955641516632,-2.8169235165251774,-2.871999550987082,-2.8719995466725203
-2.743317051867364,-2.7432058755668822,-2.7245529137406623,-2.710168015435868,-2.8550805668842454,-2.7761334917581353,-2.7930270243402817,-2.856264475107428,-2.8465027568177104,-2.8304399714826602,-2.880480796040887,-2.880480792242
-2.806601237163377,-2.7898190822900686,-2.728560651605658,-2.712935202029165,-2.8751236451433715,-2.806913314214845,-2.8056139096116253,-2.880493062300292,-2.865497154995594,-2.847994630686951,-2.9120231375969343,-2.9120231336970943
-2.7968981512833158,-2.778393088705055,-2.7535053150389595,-2.7315586066199136,-2.894171949516154,-2.8543653318960978,-2.8206186709286563,-2.892657375724099,-2.8753666808737206,-2.857507284606431,-2.9339762374684466,-2.9339762333762143
-2.8234569252576294,-2.7864624079474827,-2.7640437416603243,-2.744570415665609,-2.8929790375831548,-2.873771241078983,-2.8183984846793435,-2.889084136660696,-2.8934679621260426,-2.874028913398529,-2.939737525529288,-2.9397375220200566
-2.8218344444149173,-2.795534140106723,-2.7495127157042227,-2.7300907051884193,-2.8038624144038637,-2.853901034342972,-2.761824365238934,-2.824800872234192,-2.8745412997997133,-2.858819279526946,-2.939100318561508,-2.9391003143046106
-2.7781587156581242,-2.7511926159155156,-2.6746792083274724,-2.654306875547939,-2.6529624094724866,-2.742928940204585,-2.6351573336343392,-2.6219299910031237,-2.815715300346036,-2.805254108242438,-2.8169883165877616,-2.8169883123805253
-2.604764732913644,-2.609683416236563,-2.598460733135197,-2.581965974641715,-2.6082708763128566,-2.682434296527517,-2.595597064625272,-2.607646091954741,-2.784570050539973,-2.7793961133992893,-2.7957432499493406,-2.795743245315623
-2.5362342644857643,-2.527117262965692,-2.5483437908943722,-2.5341741448939357,-2.601948415948518,-2.623382035398131,-2.5620637620138034,-2.554418885794937,-2.7849890878503136,-2.7772781233786694,-2.738320000443955,-2.7383199973994667
-2.5073948836558255,-2.533146980174254,-2.5175750255098515,-2.4986670376341054,-2.6336023035039005,-2.591104371160225,-2.5625364298790134,-2.5520528137501826,-2.777111951247471,-2.7699782664312487,-2.738647895774024,-2.738647892387684
-2.5245638960485897,-2.5264380927035557,-2.4796621498653835,-2.453817503992262,-2.5282337166572812,-2.5037490894718397,-2.4297431442691937,-2.481860021477221,-2.768100437634111,-2.757429159556063,-2.6212082101427727,-2.621208209429416
-2.5177333827635477,-2.5122188555148477,-2.464529304083333,-2.4411735060482176,-2.5760365067931974,-2.506005840492344,-2.4704197564586194,-2.5124294105822615,-2.782868628283043,-2.7710783152607683,-2.645953634586113,-2.6459536337086305
-2.5293276394255897,-2.521137718412671,-2.456528155198096,-2.438865386239992,-2.5927049529993855,-2.505272587186785,-2.501104849694753,-2.542348163170056,-2.7988376486415385,-2.785632449722269,-2.666252622991325,-2.66625262211233
-2.545526380814048,-2.53381085650208,-2.441341849768021,-2.425866505714027,-2.605594393062343,-2.485216657488066,-2.493912656650158,-2.5484192172600313,-2.8147609297991525,-2.800115054713385,-2.6410522295197776,-2.6410522298758803
-2.51508262265585,-2.484764571762014,-2.4240866201260824,-2.407487500319416,-2.6678603834053995,-2.4906258232895757,-2.5332361967095363,-2.5808521416270795,-2.8076655460845914,-2.796987148535038,-2.657480750296345,-2.6574807503283533
-2.508583966514747,-2.5019286710956066,-2.413750527483943,-2.3974688757183302,-2.666596488120127,-2.4675097874589786,-2.5308497778991845,-2.5489430805808513,-2.7790431518094025,-2.769663815637707,-2.6391605180453683,-2.6391605175193256
-2.5638946125917887,-2.559969974730399,-2.4181142496895975,-2.4034845673616188,-2.705313165657339,-2.4655774124871175,-2.5703090185646214,-2.5691581480424728,-2.7902761347197016,-2.7793459528660285,-2.6581074370981534,-2.6581074363078048
-2.639681810531054,-2.6490163360676044,-2.4256277704459666,-2.4157839313731495,-2.726275970424709,-2.459687536611642,-2.5899531431284717,-2.580856476952258,-2.8004527498544776,-2.787439297667432,-2.6633212982093237,-2.663321297346179
-2.5897890094270726,-2.59556884242951,-2.452119516189735,-2.442878382421487,-2.764845764421057,-2.476827919547979,-2.6183099121352535,-2.6149597069656703,-2.8093916899331846,-2.796469759118965,-2.6904263296928055,-2.6904263284857857
-2.6207875998306776,-2.60817981366471,-2.470597748434248,-2.461756580356637,-2.78724414594162,-2.494228028602598,-2.6481216759882047,-2.6483705652600813,-2.824516495323455,-2.809943692405848,-2.7123663730132317,-2.712366371732481
-2.6479621183629796,-2.641482965451582,-2.4980911943743767,-2.487560149999655,-2.7771748579811426,-2.523256565816623,-2.6583264381922613,-2.66063540957048,-2.824058783397255,-2.8060454215534616,-2.7311894477885645,-2.7311894460994792
-2.6375795240107927,-2.638243125929912,-2.515616029041153,-2.5002216403638853,-2.7875528422719995,-2.5587411270658484,-2.6831648197693676,-2.6802300380471733,-2.7978425870259853,-2.7846084826148436,-2.7409496799420405,-2.7409496773793665
-2.6092280815961493,-2.601272710621538,-2.528417100234937,-2.5197215852041444,-2.7731361215948143,-2.5640142992485058,-2.6744156758164,-2.701155614715015,-2.8031810131556107,-2.7917786453694275,-2.749614205413866,-2.7496142030441413
-2.5187037666804133,-2.4901669961278805,-2.5276092332607965,-2.516062934933217,-2.806567265360327,-2.602586080452542,-2.699961173660657,-2.739211151799429,-2.810758946843625,-2.8000858038577356,-2.774473201206148,-2.7744731983357465
-2.630319155017383,-2.630357466764226,-2.541633089010717,-2.5268334273461415,-2.8223856265579794,-2.6546253820978105,-2.733863899403996,-2.7655768419013307,-2.8255386596107686,-2.8135050211572814,-2.7936329342875337,-2.7936329312678416
-2.667973054860917,-2.6468205137514373,-2.5769444747162447,-2.5568308718059605,-2.7794911540267453,-2.656332261142821,-2.7086069222517017,-2.712564174908654,-2.7973246739579856,-2.7858408155474277,-2.7618417083896984,-2.761841704925037
-2.6600259929554695,-2.6491546119974423,-2.589028690690296,-2.5672857397336815,-2.769060678698961,-2.651960481961132,-2.7101081797643087,-2.6970537006310806,-2.7992744390348054,-2.7872595409796888,-2.763265066492099,-2.7632650628345683
-2.6391551971950498,-2.602899576172216,-2.5928240688728645,-2.5672181877227893,-2.808964991038676,-2.67580425668854,-2.7498561258728045,-2.7348871249656113,-2.813419546922974,-2.8008040547160222,-2.7888537351410334,-2.788853731194002
-2.7353896789293812,-2.675050905140876,-2.621584583594897,-2.5946390183348536,-2.8451985746267536,-2.723678441057356,-2.791731203232331,-2.775345133884421,-2.8272088092782184,-2.813504198977596,-2.8158895724897897,-2.815889568333063
-2.7187553276305607,-2.651573857843979,-2.626209710456356,-2.6007823323997004,-2.799913155229956,-2.714228133793129,-2.759116968795648,-2.7936474000477567,-2.833324136075988,-2.8181802389635355,-2.800113112216606,-2.800113108422764
-2.7519156833545075,-2.67873827253393,-2.6413018645255284,-2.6120341956621416,-2.80567710637843,-2.7029986497846625,-2.7662384358870797,-2.7841537489640054,-2.8419896955146,-2.8258225838725766,-2.800142608458404,-2.8001426051657887
-2.785264274246271,-2.68072327200164,-2.6605671427485285,-2.6279510844841303,-2.809144526210428,-2.6993186586899767,-2.774353634925328,-2.7743077351967083,-2.8456959742590238,-2.8296648481890854,-2.8090987642482155,-2.8090987608548326
-2.804462013724386,-2.7005747288666138,-2.675576024542293,-2.643050204350124,-2.848450403050624,-2.723672551515265,-2.7986345735970777,-2.790015187971922,-2.8402523856463286,-2.8251880645052405,-2.8162580726542656,-2.816258068873345
-2.8203110041497492,-2.6941942606736324,-2.6931953277580263,-2.6657747299143857,-2.8744043021850416,-2.7432322669312112,-2.820223501528082,-2.8006905786890837,-2.8552573592590393,-2.8391209211192683,-2.8312325348927962,-2.831232531266573
-2.908912176091267,-2.8016013902530763,-2.721526704205412,-2.69594768855402,-2.908690423088413,-2.772679522775748,-2.8471213919632814,-2.823014379635073,-2.8708408628695015,-2.853805644363746,-2.8544874175282753,-2.854487413926038
